Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0417103203611099,-1.27388449249164,0.0104466638996164,0,0,0,2.95900767288669,0.00564821484497837,-8.67327771195511E-07,4.43710335940438E-08,0.00505242789744662,4.03121947642724E-06,0.00757330965851875,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/base_link.STL,,base_free-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
jIO,-0.10545251872028,-0.0123010033000107,0.0159392444079148,0,0,0,0.0773440177859889,3.35100338960917E-05,3.19337540166465E-07,5.60679890597341E-05,0.000474089435340881,-1.31217486782756E-07,0.000441961905697285,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jIO.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jIO.STL,,jIO_left_leg-1,jIO_left_leg,jIJ_jIO_jAB_jAG,jIO,continuous,-0.152298612320918,-1.27000017746789,0.0619693908644082,0,0,1.5707963267949,base_link,0,-1,0,,,,,,,,,,,,
jOP,0.0856414065246804,-0.00542634955118387,-0.0568952960961922,0,0,0,0.126465217133379,0.000412777627089861,6.26938341366129E-19,0.000516712382409134,0.00119484888145927,-3.48947579005574E-19,0.00078458856414343,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jOP.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jOP.STL,,jOP_left_leg-1,jOP_left__leg,jOP_revolute_axes,jOP,continuous,-0.21357099037258,0.00337196090229192,0.0245217656620774,0,0,0,jIO,0,-1,0,,,,,,,,,,,,
jwheel_left,0.000136224876013724,-0.021683188837513,-0.000318963349613781,0,0,0,0.400353261502345,0.00034915332861238,4.46065784418877E-07,-1.83836286102846E-06,0.000576956644744147,-1.03473547359132E-06,0.000352679506382096,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jwheel_left.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jwheel_left.STL,,jwheel_left-1,jwheel_left,left_wheel_revolute_axes,jwheel_left,continuous,0.213571167841369,0.0401999999999999,-0.144745833331702,0,0,0,jOP,0,-1,0,,,,,,,,,,,,
jIO_dummy_child_link1,0.0815927496996169,-0.177682414740819,-0.0663810950575556,0,0,0,12.6868388381879,0.313222187121336,0.00199807137524142,0.0108840784927306,0.207353013857842,-0.0021039013382613,0.453714554241995,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jIO_dummy_child_link1.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jIO_dummy_child_link1.STL,,,jIO_dummy_child_link1,jIJ_jIO_jAB_jAG,jIO_dummy_child_link1,continuous,-0.0963551866275421,-0.0141280390974718,0.0109403315543567,0,0,0,jIO,0,-1,0,,,,,,,,,,,,
jIO_dummy_child_link2,0.0815927496996169,-0.180182414740819,-0.0663810950575556,0,0,0,12.6868388381879,0.313222187121336,0.00199807137524142,0.0108840784927306,0.207353013857842,-0.0021039013382613,0.453714554241995,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jIO_dummy_child_link2.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jIO_dummy_child_link2.STL,,,jIO_dummy_child_link2,jIJ_jIO_jAB_jAG,jIO_dummy_child_link2,continuous,-0.0963551866275421,-0.0116280390974718,0.0109403315543567,0,0,0,jIO,0,-1,0,,,,,,,,,,,,
jAG,-0.105452873655738,0.0123010033000046,0.0159392444099737,0,0,0,0.0773440177859889,3.35100338982816E-05,-3.19337540163041E-07,5.60679890677097E-05,0.000474089435340882,1.31217486788911E-07,0.000441961905695096,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jAG.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jAG.STL,,jAG_right_leg-1,jAG_right_leg,jIJ_jIO_jAB_jAG,jAG,continuous,0.236557465874025,-1.26999982253211,0.0619693908643919,0,0,1.5707963267949,base_link,0,-1,0,,,,,,,,,,,,
jGH,0.08576625776286,0.00542041083153971,-0.0569782401830898,0,0,0,0.126281119803877,0.000412757763995183,1.35806101649027E-18,0.000516712382412723,0.00119480918593283,-8.45792599806471E-19,0.00078456870102878,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jGH.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jGH.STL,,jGH_right_leg-1,jGH_right_leg,jGH_revolute_axes,jGH,continuous,-0.213571345307948,-0.00337196090252764,0.024521765664925,0,0,0,jAG,0,1,0,,,,,,,,,,,,
jwheel_right,9.87602118314168E-05,0.021683188837513,-0.000332477449919509,0,0,0,0.400353261502345,0.000348783661346411,-3.17193717863815E-07,-1.3926275976866E-06,0.000576956644744147,1.08122168387654E-06,0.000353049173648061,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jwheel_right.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jwheel_right.STL,,jwheel_right-1,jwheel_right,right_wheel_revolute_axes,jwheel_right,continuous,0.213571167840435,-0.0402000000000004,-0.144745833334183,0,0,0,jGH,0,1,0,,,,,,,,,,,,
jAG_dummy_child_link1,0.0815927496994657,0.182917585259186,-0.0663810950587913,0,0,0,12.6868388381879,0.313222187121336,0.00199807137524157,0.0108840784927306,0.207353013857842,-0.00210390133826128,0.453714554241995,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jAG_dummy_child_link1.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_urdf4/meshes/jAG_dummy_child_link1.STL,,,jAG_dummy_child_link1,jIJ_jIO_jAB_jAG,jAG_dummy_child_link1,continuous,-0.0963555415631707,0.0141280390974656,0.0109403315556086,0,0,0,jAG,0,-1,0,,,,,,,,,,,,
